nick_the_valiant;the Valiant;le Vaillant;die Eisenherz;;el Valiente;;;;;;;;;x
nick_dragases;Dragases;Dragasès;Dragases;;Dragases;;;;;;;;;x
nick_plethon;Plethon;Pléthon;Plethon;;Pletón;;;;;;;;;x
#aetheling;Ætheling;Ætheling;Ætheling;;Ætheling;;;;;;;;;x
#aetheling_desc;This character has been recognised as a possible choice of heir, and has a significant advantage over those who haven't.;Ce personnage a été reconnu comme un choix possible d'héritier, et dispose d'un avantage considérable par rapport à ceux qui n'en ont pas.;Dieser Charakter wurde als mögliche Wahl der Erben anerkannt und hat einen signifikanten Vorteil gegenüber denen, die keinen haben.;;Este personaje ha sido reconocido como una posible elección de heredero, y tiene una ventaja significativa sobre aquellos que no tienen.;;;;;;;;;x
county_tatar;Beylik;Beylicat;Beylik;;Beylik;;;;;;;;;x;
duchy_tatar;Beylerbeylik;Beylerbeylik;Beylerbeylik;;Beylerbeylik;;;;;;;;;x;
duchy_andalusian_arabic;Taifa;Taïfa;Taifa;;Taifa;;;;;;;;;x
tatar;Tartar;Tatar;Tatarisch;;Tártaro;;;;;;;;;x
albanian;Albanian;Albanais;Albanisch;;Albano;;;;;;;;;x
frankish;French;Français;Französisch;;Francés;;;;;;;;;x
old_frankish;Frankish;Franc;Fränkisch;;Francesa;;;;;;;;;x
#chalcedonian;Chalcedonian;Chalcédoine;Chalcedonische;;Calcedoniana;;;;;;;;;x
hussite;Hussite;Hussite;Hussitische;;Husita;;;;;;;;;x
hellenic_pagan;Greco-Roman;Gréco-Romaine;Griechisch-Römischen;;Grecorromano;;;;;;;;;x
#protestant;Protestant;Protestant;Protestantische;;Protestante;;;;;;;;;x
title_prince_turkish;Shehzade;Shehzade;Shehzade;;Shehzade;;;;;;;;;x
title_latin_patriarch;Latin Patriarch;Patriarche Latin;Lateinische Patriarch;;Patriarca Latino;;;;;;;;;x
title_latin_patriarch_desc;Latin Patriarchs are very prestigious figures within the Catholic Church, as the bishops of the seats of the ancient Pentarchy, or of newer patriarchates that have emerged since.;Patriarches latins sont des chiffres très prestigieux au sein de l'Église catholique, que les évêques des sièges de l'ancien Pentarchie, ou de nouveaux patriarcats qui ont émergé depuis.;Latin Patriarchen sehr renommierten Persönlichkeiten in der katholischen Kirche, wie die Bischöfe von den Sitzen des alten Pentarchie oder neuerer Patriarchaten, die seit entstanden sind.;;Patriarcas latinos son figuras de gran prestigio dentro de la Iglesia católica, como los obispos de las sedes de la antigua pentarquía, o de nuevos patriarcados que han surgido desde entonces.;;;;;;;;;x
title_megas_doux;Megas Doux;Megas Doux;Megas Doux;;Megas Doux;;;;;;;;;x
title_megas_doux;The Megas Doux was the commander of the Byzantine fleet, and a very high-ranking official. Later in the Empire's history, the Megas Doux was one of the highest ranking Byzantine politicians.;Le Megas Doux était le commandant de la flotte byzantine, et un fonctionnaire de très haut rang. Plus tard dans l'histoire de l'Empire, le Megas Doux a été l'un des plus hauts responsables politiques byzantines classement.;Die Megas Doux war der Kommandant der byzantinischen Flotte, und ein sehr hoher Beamter. Später in der Geschichte des Reiches, war die Megas Doux eine der höchsten Ranking byzantinischen Politiker.;;El Megas Doux fue el comandante de la flota bizantina, y un funcionario de muy alto rango. Más tarde en la historia del Imperio, el Megas Doux fue uno de los más altos políticos bizantinos de clasificación.;;;;;;;;;x
create_ottoman_empire;Create the Ottoman Empire;Créer l'Empire Ottoman;Erstellen des Osmanischen Reiches;;Cree el Imperio Otomano;;;;;;;;;x
create_ottoman_empire_desc;Since the time of Osman, our people have risen and taken much land from the Roman infidels. We have supplanted them as a regional power, now we need only establish ourselves as their official successor.;Depuis l'époque de Osman, notre peuple ont augmenté et pris beaucoup de terres des infidèles romains. Nous avons supplanté comme une puissance régionale, maintenant nous devons seulement nous imposer comme son successeur officiel.;Seit der Zeit von Osman, haben unsere Leute gestiegen genommen und viel Land von den Ungläubigen Roman. Wir haben sie als regionale Macht verdrängt, jetzt brauchen wir nur etablieren uns als offizieller Nachfolger.;;Desde el momento de Osman, nuestro pueblo ha crecido y tomado muchas tierras de los infieles romanos. Los hemos reemplazado como potencia regional, ahora sólo tenemos que establecernos como su sucesor oficial.;;;;;;;;;x
create_bulgarian_empire;Create the Bulgarian Empire;Créer l'Empire Bulgare;Erstellen des Bulgarischen Reiches;;Cree el Imperio Búlgaro;;;;;;;;;x
create_bulgarian_empire_desc;Our people have risen once again, cast off Roman suzerainty and reclaimed much of our former strength. The time has come for our Empire to be restored to us.;Notre peuple a augmenté une fois de plus, rabattre suzeraineté romaine et récupéré une grande partie de notre force d'antan. Le temps est venu pour notre Empire d'être restauré pour nous.;Unser Volk hat erneut gestiegen abwerfen römischen Oberhoheit und zurückgefordert viel von unserer alten Stärke. Die Zeit ist reif für unser Reich kommen, zu uns wiederhergestellt werden.;;Nuestro pueblo ha aumentado una vez más, rem soberanía romana y recuperado gran parte de nuestra fuerza anterior. Ha llegado la hora de que nuestro imperio se restaure a nosotros.;;;;;;;;;x
BM_THE_END;The End;Le Fin;Das Ende;;El Fin;;;;;;;;;x
BM_THE_END_DESC;The Ottoman Sultan, §YMehmet II§! approaches the walls of Constantinople with a vast army, as the last Byzantine Emperor, §YKonstantinos XI§! assembles as good a defence as he can against the Ottoman juggernaut. and the battle that ended the Middle Ages approaches.;Le sultan ottoman §YMehmet II§! aborde les murs de Constantinople avec une grande armée, comme le dernier empereur byzantin, §YConstantin XI§! réunit aussi bonne défense comme il peut contre le mastodonte ottoman. et la bataille qui s'est terminée le Moyen Age approches.;Der osmanische Sultan §YMehmet II§! nähert sich den Mauern von Konstantinopel mit einer großen Armee, als der letzte byzantinische Kaiser, montiert §YKonstantinos XI§! so gute Verteidigung, wie er kann gegen das Osmanische Moloch. und die Schlacht, die das Mittelalter endete nähert.;;El sultán otomano §YMehmet II§! se acerca a las murallas de Constantinopla con un gran ejército, como el último emperador bizantino, §YKonstantinos XI§! ensambla tan buena defensa como pueda contra el gigante otomano. y la batalla que puso fin a la Edad Media se acerca.;;;;;;;;;x
BM_THE_IMPALER;The Impaler;L'Empaleur;Der Pfähler;;El Empalador;;;;;;;;;x
#BM_THE_IMPALER_DESC;In 1447, the Wallachian voievod, §YVlad II Dracul§! and his eldest son §YMircea§! were deposed
