ct__ab_mod_alacir_eminence_1;A city holding is building a alacir_eminence_1 here and it will take at most 1 days to complete.;Une ville holding est construire un alacir_eminence_1 ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein alacir_eminence_1 auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un alacir_eminence_1 aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cainite_eminence_4;A city holding is building a Cainite Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cainite Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cainite Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cainite Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cainite_eminence_5;A city holding is building a Cainite Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cainite Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cainite Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cainite Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cainite_eminence_6;A city holding is building a Cainite Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cainite Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cainite Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cainite Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cainite_eminence_7;A city holding is building a Cainite Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cainite Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cainite Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cainite Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_caitiff_emiinence_8;A city holding is building a Caitiff Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Caitiff Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Caitiff Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Caitiff Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_caitiff_eminence_1;A city holding is building a Caitiff Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Caitiff Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Caitiff Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Caitiff Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_caitiff_eminence_2;A city holding is building a Caitiff Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Caitiff Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Caitiff Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Caitiff Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_caitiff_eminence_3;A city holding is building a Caitiff Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Caitiff Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Caitiff Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Caitiff Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_caitiff_eminence_4;A city holding is building a Caitiff Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Caitiff Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Caitiff Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Caitiff Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_caitiff_eminence_5;A city holding is building a Caitiff Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Caitiff Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Caitiff Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Caitiff Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_caitiff_eminence_6;A city holding is building a Caitiff Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Caitiff Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Caitiff Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Caitiff Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_caitiff_eminence_7;A city holding is building a Caitiff Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Caitiff Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Caitiff Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Caitiff Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cappadocian_emiinence_8;A city holding is building a Cappadocian Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cappadocian Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cappadocian Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cappadocian Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cappadocian_eminence_1;A city holding is building a Cappadocian Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cappadocian Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cappadocian Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cappadocian Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cappadocian_eminence_2;A city holding is building a Cappadocian Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cappadocian Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cappadocian Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cappadocian Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cappadocian_eminence_3;A city holding is building a Cappadocian Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cappadocian Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cappadocian Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cappadocian Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cappadocian_eminence_4;A city holding is building a Cappadocian Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cappadocian Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cappadocian Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cappadocian Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cappadocian_eminence_5;A city holding is building a Cappadocian Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cappadocian Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cappadocian Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cappadocian Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cappadocian_eminence_6;A city holding is building a Cappadocian Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cappadocian Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cappadocian Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cappadocian Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cappadocian_eminence_7;A city holding is building a Cappadocian Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cappadocian Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cappadocian Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cappadocian Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_einherjar_emiinence_8;A city holding is building a Einherjar Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Einherjar Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Einherjar Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Einherjar Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_einherjar_eminence_1;A city holding is building a Einherjar Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Einherjar Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Einherjar Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Einherjar Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_einherjar_eminence_2;A city holding is building a Einherjar Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Einherjar Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Einherjar Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Einherjar Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_einherjar_eminence_3;A city holding is building a Einherjar Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Einherjar Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Einherjar Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Einherjar Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_einherjar_eminence_4;A city holding is building a Einherjar Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Einherjar Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Einherjar Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Einherjar Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_einherjar_eminence_5;A city holding is building a Einherjar Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Einherjar Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Einherjar Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Einherjar Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_einherjar_eminence_6;A city holding is building a Einherjar Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Einherjar Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Einherjar Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Einherjar Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_einherjar_eminence_7;A city holding is building a Einherjar Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Einherjar Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Einherjar Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Einherjar Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_followerofset_emiinence_8;A city holding is building a Follower of Set Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Follower of Set Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Follower of Set Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Follower of Set Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_followerofset_eminence_1;A city holding is building a Follower of Set Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Follower of Set Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Follower of Set Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Follower of Set Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_followerofset_eminence_2;A city holding is building a Follower of Set Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Follower of Set Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Follower of Set Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Follower of Set Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_followerofset_eminence_3;A city holding is building a Follower of Set Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Follower of Set Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Follower of Set Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Follower of Set Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_followerofset_eminence_4;A city holding is building a Follower of Set Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Follower of Set Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Follower of Set Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Follower of Set Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_followerofset_eminence_5;A city holding is building a Follower of Set Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Follower of Set Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Follower of Set Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Follower of Set Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_followerofset_eminence_6;A city holding is building a Follower of Set Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Follower of Set Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Follower of Set Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Follower of Set Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_followerofset_eminence_7;A city holding is building a Follower of Set Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Follower of Set Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Follower of Set Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Follower of Set Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gangrel_emiinence_8;A city holding is building a Gangrel Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gangrel Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gangrel Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gangrel Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gangrel_eminence_1;A city holding is building a Gangrel Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gangrel Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gangrel Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gangrel Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gangrel_eminence_2;A city holding is building a Gangrel Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gangrel Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gangrel Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gangrel Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gangrel_eminence_3;A city holding is building a Gangrel Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gangrel Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gangrel Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gangrel Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gangrel_eminence_4;A city holding is building a Gangrel Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gangrel Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gangrel Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gangrel Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gangrel_eminence_5;A city holding is building a Gangrel Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gangrel Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gangrel Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gangrel Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gangrel_eminence_6;A city holding is building a Gangrel Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gangrel Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gangrel Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gangrel Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gangrel_eminence_7;A city holding is building a Gangrel Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gangrel Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gangrel Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gangrel Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gargoyle_emiinence_8;A city holding is building a Gargoyle Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gargoyle Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gargoyle Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gargoyle Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gargoyle_eminence_1;A city holding is building a Gargoyle Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gargoyle Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gargoyle Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gargoyle Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gargoyle_eminence_2;A city holding is building a Gargoyle Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gargoyle Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gargoyle Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gargoyle Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gargoyle_eminence_3;A city holding is building a Gargoyle Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gargoyle Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gargoyle Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gargoyle Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gargoyle_eminence_4;A city holding is building a Gargoyle Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gargoyle Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gargoyle Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gargoyle Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gargoyle_eminence_5;A city holding is building a Gargoyle Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gargoyle Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gargoyle Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gargoyle Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gargoyle_eminence_6;A city holding is building a Gargoyle Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gargoyle Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gargoyle Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gargoyle Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_gargoyle_eminence_7;A city holding is building a Gargoyle Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Gargoyle Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Gargoyle Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Gargoyle Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_giovanni_emiinence_8;A city holding is building a Giovanni Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Giovanni Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Giovanni Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Giovanni Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_giovanni_eminence_1;A city holding is building a Giovanni Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Giovanni Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Giovanni Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Giovanni Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_giovanni_eminence_2;A city holding is building a Giovanni Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Giovanni Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Giovanni Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Giovanni Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_giovanni_eminence_3;A city holding is building a Giovanni Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Giovanni Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Giovanni Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Giovanni Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_giovanni_eminence_4;A city holding is building a Giovanni Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Giovanni Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Giovanni Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Giovanni Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_giovanni_eminence_5;A city holding is building a Giovanni Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Giovanni Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Giovanni Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Giovanni Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_giovanni_eminence_6;A city holding is building a Giovanni Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Giovanni Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Giovanni Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Giovanni Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_giovanni_eminence_7;A city holding is building a Giovanni Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Giovanni Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Giovanni Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Giovanni Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_lasombra_emiinence_8;A city holding is building a Lasombra Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Lasombra Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Lasombra Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Lasombra Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_lasombra_eminence_1;A city holding is building a Lasombra Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Lasombra Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Lasombra Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Lasombra Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_lasombra_eminence_2;A city holding is building a Lasombra Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Lasombra Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Lasombra Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Lasombra Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
