ca__ab_mod_ca_bandits_1;A castle holding is building a Bribed Bandit here and it will take at most 7 days to complete.;Une Chteau holding est construire un Bribed Bandit ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Bribed Bandit auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Bribed Bandit aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_nosferatu_nightmarestable_2;A castle holding is building a Nosferatu Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Nosferatu Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Nosferatu Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Nosferatu Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_ravnos_eminence_1;A castle holding is building a Ravnos Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Ravnos Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ravnos Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Ravnos Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_ravnos_nightmarestable_1;A castle holding is building a Ravnos Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Ravnos Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ravnos Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Ravnos Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_ravnos_nightmarestable_2;A castle holding is building a Ravnos Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Ravnos Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ravnos Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Ravnos Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_toreador_eminence_1;A castle holding is building a Toreador Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Toreador Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Toreador Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Toreador Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_toreador_nightmarestable_1;A castle holding is building a Toreador Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Toreador Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Toreador Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Toreador Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_toreador_nightmarestable_2;A castle holding is building a Toreador Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Toreador Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Toreador Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Toreador Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_tremere_eminence_1;A castle holding is building a Tremere Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Tremere Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Tremere Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Tremere Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_tremere_nightmarestable_1;A castle holding is building a Tremere Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Tremere Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Tremere Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Tremere Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_tremere_nightmarestable_2;A castle holding is building a Tremere Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Tremere Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Tremere Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Tremere Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_tzimisce_eminence_1;A castle holding is building a Tzimisce Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Tzimisce Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Tzimisce Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Tzimisce Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_tzimisce_nightmarestable_1;A castle holding is building a Revenant Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Revenant Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Revenant Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Revenant Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_tzimisce_nightmarestable_2;A castle holding is building a Revenant Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Revenant Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Revenant Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Revenant Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_ventrue_eminence_1;A castle holding is building a Ventrue Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Ventrue Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ventrue Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Ventrue Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_ventrue_nightmarestable_1;A castle holding is building a Ventrue Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Ventrue Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ventrue Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Ventrue Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_ventrue_nightmarestable_2;A castle holding is building a Ventrue Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Ventrue Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ventrue Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Ventrue Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_elysium_1;A castle holding is building a Elysium here and it will take at most 365 days to complete.;Une Chteau holding est construire un Elysium ici et il faudra au maximum 365 jours pour tre termin.;Ein Schloss-Halt baut hier ein Elysium auf und es dauert hchstens 365 Tage bis zum Ende.;;Un castillo holding est construyendo un Elysium aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_farms_1;A castle holding is building a Bribed Serf here and it will take at most 7 days to complete.;Une Chteau holding est construire un Bribed Serf ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Bribed Serf auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Bribed Serf aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_farms_2;A castle holding is building a Influenced Kulak here and it will take at most 30 days to complete.;Une Chteau holding est construire un Influenced Kulak ici et il faudra au maximum 30 jours pour tre termin.;Ein Schloss-Halt baut hier ein Influenced Kulak auf und es dauert hchstens 30 Tage bis zum Ende.;;Un castillo holding est construyendo un Influenced Kulak aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_farms_2g;A castle holding is building a Ghouled Publican here and it will take at most 7 days to complete.;Une Chteau holding est construire un Ghouled Publican ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ghouled Publican auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Ghouled Publican aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_farms_3;A castle holding is building a Controlled Farms here and it will take at most 356 days to complete.;Une Chteau holding est construire un Controlled Farms ici et il faudra au maximum 356 jours pour tre termin.;Ein Schloss-Halt baut hier ein Controlled Farms auf und es dauert hchstens 356 Tage bis zum Ende.;;Un castillo holding est construyendo un Controlled Farms aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_farms_3c;A castle holding is building a Conditioned Farmers here and it will take at most 180 days to complete.;Une Chteau holding est construire un Conditioned Farmers ici et il faudra au maximum 180 jours pour tre termin.;Ein Schloss-Halt baut hier ein Conditioned Farmers auf und es dauert hchstens 180 Tage bis zum Ende.;;Un castillo holding est construyendo un Conditioned Farmers aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_fleshlab_1;A castle holding is building a Basic Flesh Lab here and it will take at most 7 days to complete.;Une Chteau holding est construire un Basic Flesh Lab ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Basic Flesh Lab auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Basic Flesh Lab aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_fleshlab_2;A castle holding is building a Small Flesh Lab here and it will take at most 30 days to complete.;Une Chteau holding est construire un Small Flesh Lab ici et il faudra au maximum 30 jours pour tre termin.;Ein Schloss-Halt baut hier ein Small Flesh Lab auf und es dauert hchstens 30 Tage bis zum Ende.;;Un castillo holding est construyendo un Small Flesh Lab aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_fleshlab_2g;A castle holding is building a Ghouled Assistant here and it will take at most 7 days to complete.;Une Chteau holding est construire un Ghouled Assistant ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ghouled Assistant auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Ghouled Assistant aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_fleshlab_3;A castle holding is building a Large Flesh Lab here and it will take at most 356 days to complete.;Une Chteau holding est construire un Large Flesh Lab ici et il faudra au maximum 356 jours pour tre termin.;Ein Schloss-Halt baut hier ein Large Flesh Lab auf und es dauert hchstens 356 Tage bis zum Ende.;;Un castillo holding est construyendo un Large Flesh Lab aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_fleshlab_3c;A castle holding is building a Masterful Flesh Lab here and it will take at most 180 days to complete.;Une Chteau holding est construire un Masterful Flesh Lab ici et il faudra au maximum 180 jours pour tre termin.;Ein Schloss-Halt baut hier ein Masterful Flesh Lab auf und es dauert hchstens 180 Tage bis zum Ende.;;Un castillo holding est construyendo un Masterful Flesh Lab aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_forests_1;A castle holding is building a Bribed Woodsman here and it will take at most 7 days to complete.;Une Chteau holding est construire un Bribed Woodsman ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Bribed Woodsman auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Bribed Woodsman aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_forests_2;A castle holding is building a Influenced Lumberjack here and it will take at most 30 days to complete.;Une Chteau holding est construire un Influenced Lumberjack ici et il faudra au maximum 30 jours pour tre termin.;Ein Schloss-Halt baut hier ein Influenced Lumberjack auf und es dauert hchstens 30 Tage bis zum Ende.;;Un castillo holding est construyendo un Influenced Lumberjack aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_forests_2g;A castle holding is building a Ghouled Sawboss here and it will take at most 7 days to complete.;Une Chteau holding est construire un Ghouled Sawboss ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ghouled Sawboss auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Ghouled Sawboss aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_forests_3;A castle holding is building a Controlled Forests here and it will take at most 356 days to complete.;Une Chteau holding est construire un Controlled Forests ici et il faudra au maximum 356 jours pour tre termin.;Ein Schloss-Halt baut hier ein Controlled Forests auf und es dauert hchstens 356 Tage bis zum Ende.;;Un castillo holding est construyendo un Controlled Forests aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_forests_3c;A castle holding is building a Conditioned Lumberjacks here and it will take at most 180 days to complete.;Une Chteau holding est construire un Conditioned Lumberjacks ici et il faudra au maximum 180 jours pour tre termin.;Ein Schloss-Halt baut hier ein Conditioned Lumberjacks auf und es dauert hchstens 180 Tage bis zum Ende.;;Un castillo holding est construyendo un Conditioned Lumberjacks aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_haven_1;A castle holding is building a Simple Haven here and it will take at most 39 days to complete.;Une Chteau holding est construire un Simple Haven ici et il faudra au maximum 39 jours pour tre termin.;Ein Schloss-Halt baut hier ein Simple Haven auf und es dauert hchstens 39 Tage bis zum Ende.;;Un castillo holding est construyendo un Simple Haven aqu y tomar como mximo 39 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_haven_2;A castle holding is building a Modest Haven here and it will take at most 90 days to complete.;Une Chteau holding est construire un Modest Haven ici et il faudra au maximum 90 jours pour tre termin.;Ein Schloss-Halt baut hier ein Modest Haven auf und es dauert hchstens 90 Tage bis zum Ende.;;Un castillo holding est construyendo un Modest Haven aqu y tomar como mximo 90 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_haven_3;A castle holding is building a Large Haven here and it will take at most 365 days to complete.;Une Chteau holding est construire un Large Haven ici et il faudra au maximum 365 jours pour tre termin.;Ein Schloss-Halt baut hier ein Large Haven auf und es dauert hchstens 365 Tage bis zum Ende.;;Un castillo holding est construyendo un Large Haven aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_haven_4;A castle holding is building a Mansion Haven here and it will take at most 1000 days to complete.;Une Chteau holding est construire un Mansion Haven ici et il faudra au maximum 1000 jours pour tre termin.;Ein Schloss-Halt baut hier ein Mansion Haven auf und es dauert hchstens 1000 Tage bis zum Ende.;;Un castillo holding est construyendo un Mansion Haven aqu y tomar como mximo 1000 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_haven_5;A castle holding is building a Castle Haven here and it will take at most 1250 days to complete.;Une Chteau holding est construire un Castle Haven ici et il faudra au maximum 1250 jours pour tre termin.;Ein Schloss-Halt baut hier ein Castle Haven auf und es dauert hchstens 1250 Tage bis zum Ende.;;Un castillo holding est construyendo un Castle Haven aqu y tomar como mximo 1250 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_hellhound_kennel_1;A castle holding is building a Hellhound kennel here and it will take at most 365 days to complete.;Une Chteau holding est construire un Hellhound kennel ici et il faudra au maximum 365 jours pour tre termin.;Ein Schloss-Halt baut hier ein Hellhound kennel auf und es dauert hchstens 365 Tage bis zum Ende.;;Un castillo holding est construyendo un Hellhound kennel aqu y tomar como mximo 365 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_inn_1;A castle holding is building a Bribed Serving Wench here and it will take at most 7 days to complete.;Une Chteau holding est construire un Bribed Serving Wench ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Bribed Serving Wench auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Bribed Serving Wench aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_inn_2;A castle holding is building a Influenced Cook here and it will take at most 30 days to complete.;Une Chteau holding est construire un Influenced Cook ici et il faudra au maximum 30 jours pour tre termin.;Ein Schloss-Halt baut hier ein Influenced Cook auf und es dauert hchstens 30 Tage bis zum Ende.;;Un castillo holding est construyendo un Influenced Cook aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_inn_2g;A castle holding is building a Ghouled Inn Keeper here and it will take at most 7 days to complete.;Une Chteau holding est construire un Ghouled Inn Keeper ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ghouled Inn Keeper auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Ghouled Inn Keeper aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_inn_3;A castle holding is building a Controlled Inn here and it will take at most 356 days to complete.;Une Chteau holding est construire un Controlled Inn ici et il faudra au maximum 356 jours pour tre termin.;Ein Schloss-Halt baut hier ein Controlled Inn auf und es dauert hchstens 356 Tage bis zum Ende.;;Un castillo holding est construyendo un Controlled Inn aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_inn_3c;A castle holding is building a Conditioned Inn here and it will take at most 180 days to complete.;Une Chteau holding est construire un Conditioned Inn ici et il faudra au maximum 180 jours pour tre termin.;Ein Schloss-Halt baut hier ein Conditioned Inn auf und es dauert hchstens 180 Tage bis zum Ende.;;Un castillo holding est construyendo un Conditioned Inn aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_keep_1;A castle holding is building a Praxis here and it will take at most 1 days to complete.;Une Chteau holding est construire un Praxis ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Praxis auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Praxis aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kinfolk_1;A castle holding is building a Discovered Kinfolk here and it will take at most 7 days to complete.;Une Chteau holding est construire un Discovered Kinfolk ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Discovered Kinfolk auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Discovered Kinfolk aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kinfolk_2;A castle holding is building a Influenced Kinfolk Chief here and it will take at most 30 days to complete.;Une Chteau holding est construire un Influenced Kinfolk Chief ici et il faudra au maximum 30 jours pour tre termin.;Ein Schloss-Halt baut hier ein Influenced Kinfolk Chief auf und es dauert hchstens 30 Tage bis zum Ende.;;Un castillo holding est construyendo un Influenced Kinfolk Chief aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kinfolk_2c;A castle holding is building a Kinfolk Werewolf Cult here and it will take at most 30 days to complete.;Une Chteau holding est construire un Kinfolk Werewolf Cult ici et il faudra au maximum 30 jours pour tre termin.;Ein Schloss-Halt baut hier ein Kinfolk Werewolf Cult auf und es dauert hchstens 30 Tage bis zum Ende.;;Un castillo holding est construyendo un Kinfolk Werewolf Cult aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kinfolk_3;A castle holding is building a Controlled Kinfolk here and it will take at most 356 days to complete.;Une Chteau holding est construire un Controlled Kinfolk ici et il faudra au maximum 356 jours pour tre termin.;Ein Schloss-Halt baut hier ein Controlled Kinfolk auf und es dauert hchstens 356 Tage bis zum Ende.;;Un castillo holding est construyendo un Controlled Kinfolk aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kinfolk_3d;A castle holding is building a Dominated Kinfolk here and it will take at most 180 days to complete.;Une Chteau holding est construire un Dominated Kinfolk ici et il faudra au maximum 180 jours pour tre termin.;Ein Schloss-Halt baut hier ein Dominated Kinfolk auf und es dauert hchstens 180 Tage bis zum Ende.;;Un castillo holding est construyendo un Dominated Kinfolk aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kith_boggan_eminence_1;A castle holding is building a Boggan Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Boggan Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Boggan Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Boggan Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kith_eshu_eminence_1;A castle holding is building a Eshu Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Eshu Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Eshu Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Eshu Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kith_nocker_eminence_1;A castle holding is building a Nocker Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Nocker Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Nocker Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Nocker Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kith_redcap_eminence_1;A castle holding is building a Redcap Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Redcap Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Redcap Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Redcap Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kith_satyr_eminence_1;A castle holding is building a Satyr Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Satyr Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Satyr Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Satyr Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kith_sidhe_eminence_1;A castle holding is building a Sidhe Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Sidhe Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Sidhe Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Sidhe Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kith_sluagh_eminence_1;A castle holding is building a Sluagh Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Sluagh Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Sluagh Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Sluagh Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_kith_troll_eminence_1;A castle holding is building a Troll Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Troll Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Troll Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Troll Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_knights_1;A castle holding is building a Bribed Squire here and it will take at most 7 days to complete.;Une Chteau holding est construire un Bribed Squire ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Bribed Squire auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Bribed Squire aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_knights_2;A castle holding is building a Influenced Knight here and it will take at most 30 days to complete.;Une Chteau holding est construire un Influenced Knight ici et il faudra au maximum 30 jours pour tre termin.;Ein Schloss-Halt baut hier ein Influenced Knight auf und es dauert hchstens 30 Tage bis zum Ende.;;Un castillo holding est construyendo un Influenced Knight aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_knights_2g;A castle holding is building a Ghouled Knight Commander here and it will take at most 7 days to complete.;Une Chteau holding est construire un Ghouled Knight Commander ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ghouled Knight Commander auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Ghouled Knight Commander aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_knights_3;A castle holding is building a Controlled Knightly Order here and it will take at most 356 days to complete.;Une Chteau holding est construire un Controlled Knightly Order ici et il faudra au maximum 356 jours pour tre termin.;Ein Schloss-Halt baut hier ein Controlled Knightly Order auf und es dauert hchstens 356 Tage bis zum Ende.;;Un castillo holding est construyendo un Controlled Knightly Order aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_knights_3c;A castle holding is building a Conditioned Knights here and it will take at most 180 days to complete.;Une Chteau holding est construire un Conditioned Knights ici et il faudra au maximum 180 jours pour tre termin.;Ein Schloss-Halt baut hier ein Conditioned Knights auf und es dauert hchstens 180 Tage bis zum Ende.;;Un castillo holding est construyendo un Conditioned Knights aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_militia_1;A castle holding is building a Bribed Militiaman here and it will take at most 7 days to complete.;Une Chteau holding est construire un Bribed Militiaman ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Bribed Militiaman auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Bribed Militiaman aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_militia_2;A castle holding is building a Influenced Militia Sergeant here and it will take at most 30 days to complete.;Une Chteau holding est construire un Influenced Militia Sergeant ici et il faudra au maximum 30 jours pour tre termin.;Ein Schloss-Halt baut hier ein Influenced Militia Sergeant auf und es dauert hchstens 30 Tage bis zum Ende.;;Un castillo holding est construyendo un Influenced Militia Sergeant aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_militia_2g;A castle holding is building a Ghouled Militia Commander here and it will take at most 7 days to complete.;Une Chteau holding est construire un Ghouled Militia Commander ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ghouled Militia Commander auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Ghouled Militia Commander aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_militia_3;A castle holding is building a Controlled Militia here and it will take at most 356 days to complete.;Une Chteau holding est construire un Controlled Militia ici et il faudra au maximum 356 jours pour tre termin.;Ein Schloss-Halt baut hier ein Controlled Militia auf und es dauert hchstens 356 Tage bis zum Ende.;;Un castillo holding est construyendo un Controlled Militia aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
