#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tinia;Tinia Ventrue;;;;;;;;;;;;;
dracula;Dracula Tzimisce;;;;;;;;;;;;;
dracula_desc;Vlad Tepes is quite the legend among kine and cainites alike, and he is the only one allowed to add to it.;;;;;;;;;;;;;
macneil;MacNeil Brujah;;;;;;;;;;;;;
macneil_desc;The Eternal Rebel is a rallying figure for revolutionnaries around the world. His charismatic, but somewhat reluctant, leadership is well known.;;;;;;;;;;;;;
morel;Morel Toreador;;;;;;;;;;;;;
morel_desc;Child of the French Revolution, Laurette hasn't given up on her convictions with her death, far from it.;;;;;;;;;;;;;
pieterzoon;Pieterzoon Ventrue;;;;;;;;;;;;;
pieterzoon_desc;Noblesse oblige, Jan will save the only true vampiric institution, the Camarilla, from itself if need be.;;;;;;;;;;;;;
masquerade_camarilla_opinion;Camarilla Opinion;;;;;;;;;;;;;
masquerade_camarilla_opinion_explanation;Camarilla Reputation;;;;;;;;;;;;;
sabbat_opinion;Sabbat Opinion;;;;;;;;;;;;;
sabbat_opinion_explanation;Sabbat Reputation;;;;;;;;;;;;;
camarillafounder;Camarilla Founder Lineage;;;;;;;;;;;;;
camarillafounder_desc;A prestigious line of vampires, descending from one of the esteemed Founder of the Camarilla. Oh and, kill on sight for any Sabbat cainites, of course.;;;;;;;;;;;;;
sabbatfounder;Sabbat Founder Lineage;;;;;;;;;;;;;
sabbatfounder_desc;The cainites who have created the powerful Sabbat are legends of their sect� and obvious targets for Camarilla fanatics.;;;;;;;;;;;;;
anarchfounder;First Anarch Lineage;;;;;;;;;;;;;
anarchfounder_desc;Descending from one of the first vampires to have broken the shackles of fealty, this lineage has en easy time rousing crowds of neonates.;;;;;;;;;;;;;
maatkare;Maatkare Setite;;;;;;;;;;;;;
maatkare_desc;The Beloved of the Moon is blessed by a prodigious beauty and loyalty to her lord and lover, Set.;;;;;;;;;;;;;
seterpenre;Seterpenre Setite;;;;;;;;;;;;;
seterpenre_desc;The progressive Hierophant has made alliances with the wider Cainite world. His friendship with the Tremere leadership hasn't gone unnoticed however�;;;;;;;;;;;;;
guruhi;Guruhi Laibon;;;;;;;;;;;;;
guruhi_desc;Rulers of the Laibon world, they are fierce warriors and protectors of Africa but also proud to a fault.;;;;;;;;;;;;;
kumasi;Kumasi Laibon;;;;;;;;;;;;;
kumasi_desc;The Naglopers are expert in the fine art of torture, perfecting it to a point that could make an ancient Tzimisce blush.;;;;;;;;;;;;;
damdallah;Damdallah Laibon;;;;;;;;;;;;;
damdallah_desc;The secretive sub branch of the Setite cult is too mysterious and strange for the taste of their Laibon brethren.;;;;;;;;;;;;;
calderon;Calderon Tremere;;;;;;;;;;;;;
calderon_desc;A nobleman, a diplomat and an astute administrator, Calderon sometimes has trouble keeping his hotheaded temper at bay.;;;;;;;;;;;;;
decincao;De Cincao Tremere;;;;;;;;;;;;;
decincao_desc;A ruthless dealbreaker, De Cincao can make any alliance work. Even those not really condemned by his clan.;;;;;;;;;;;;;
grimgroth;Grimgroth Tremere;;;;;;;;;;;;;
grimgroth_desc;The Betrayer of Mistridge is an unsavory character, even by Tremere standards. His soul long lost, he will go to hell and beyond for his sire.;;;;;;;;;;;;;
meerlinda;Meerlinda Tremere;;;;;;;;;;;;;
meerlinda_desc;The diplomat and voice of reason of the Tremere council, Meerlinda is tasked with bringing England into the Tremere's dominion. Mithras isn't standing idle by though.;;;;;;;;;;;;;
etrius;Etrius Tremere;;;;;;;;;;;;;
etrius_desc;Loved as much as they are hated, the Etrius lineage expects respect and allegiance from all Tremere since they are, after all, the firsts among equals.;;;;;;;;;;;;;
leduc;LeDuc Tremere;;;;;;;;;;;;;
leduc_desc;An occultist and learned mage, LeDuc was tasked by Tremere himself to unearth the secrets of the curse of Caine.;;;;;;;;;;;;;
